Player,G,MP,TRB,AST,STL,BLK,TOV,PF,PTS▼
Naz Mitrou-Long\mitrona01,1,1,0.0,0.0,0.0,0.0,0.0,0.0,108.0
David Stockton\stockda01,3,9,0.0,0.0,0.0,0.0,4.0,12.0,40.0
Edmond Sumner\sumneed01,1,2,18.0,0.0,0.0,0.0,0.0,18.0,36.0
James Harden\hardeja01,72,2551,5.5,8.9,1.8,0.7,4.4,2.4,30.9
Vince Hunter\huntevi01,4,7,15.4,0.0,0.0,5.1,5.1,0.0,30.9
Jonathan Gibson\gibsojo01,4,40,2.7,3.6,0.0,0.0,2.7,4.5,30.6
Stephen Curry\curryst01,51,1631,5.8,6.8,1.8,0.2,3.4,2.5,29.7
Anthony Davis\davisan02,75,2727,11.0,2.3,1.5,2.5,2.1,2.1,27.9
Kevin Durant\duranke01,68,2325,7.2,5.7,0.8,1.8,3.2,2.1,27.7
Kyrie Irving\irvinky01,60,1931,4.2,5.7,1.2,0.3,2.6,2.3,27.3
Joel Embiid\embiijo01,63,1912,13.0,3.7,0.8,2.1,4.4,3.9,27.2
Anthony Brown\brownan02,1,4,0.0,9.0,0.0,0.0,0.0,0.0,27.0
LeBron James\jamesle01,82,3026,8.4,8.9,1.4,0.8,4.1,1.6,26.8
Damian Lillard\lillada01,73,2670,4.4,6.5,1.0,0.4,2.8,1.6,26.5
Giannis Antetokounmpo\antetgi01,75,2756,9.8,4.7,1.4,1.4,2.9,3.0,26.3
MarShon Brooks\brookma01,7,193,3.9,4.7,2.1,0.6,3.0,1.1,26.3
Devin Booker\bookede01,54,1865,4.7,4.9,0.9,0.3,3.7,3.2,26.0
Jeremy Lin\linje01,1,25,0.0,5.8,0.0,0.0,4.3,4.3,25.9
Kristaps Porzingis\porzikr01,48,1553,7.3,1.3,0.8,2.7,2.2,3.3,25.2
DeMarcus Cousins\couside01,48,1737,12.8,5.3,1.6,1.6,5.0,3.8,25.1
Boban Marjanovic\marjabo01,39,337,15.4,2.4,1.1,1.2,3.8,5.4,25.1
Russell Westbrook\westbru01,80,2914,9.9,10.1,1.8,0.2,4.7,2.5,25.1
Kawhi Leonard\leonaka01,9,210,7.2,3.6,3.1,1.5,2.7,1.5,25.0
LaMarcus Aldridge\aldrila01,75,2509,9.1,2.2,0.6,1.3,1.6,2.3,24.9
Lou Williams\willilo02,79,2589,2.8,5.8,1.2,0.3,3.3,1.5,24.8
Victor Oladipo\oladivi01,75,2552,5.5,4.6,2.5,0.8,3.1,2.5,24.5
DeMar DeRozan\derozde01,80,2711,4.2,5.5,1.1,0.3,2.3,2.0,24.4
PJ Dozier\doziepj01,2,3,12.0,0.0,0.0,0.0,12.0,12.0,24.0
Montrezl Harrell\harremo01,76,1293,8.5,2.1,1.0,1.4,1.9,4.0,23.3
Kemba Walker\walkeke02,80,2736,3.2,5.8,1.2,0.3,2.4,1.3,23.3
Blake Griffin\griffbl01,58,1970,7.8,6.1,0.7,0.3,3.0,2.5,22.7
Kevin Love\loveke01,59,1651,11.9,2.2,0.9,0.5,2.0,2.6,22.7
Jameel Warney\warneja01,3,27,12.0,0.0,0.0,0.0,1.3,2.7,22.7
Tyreke Evans\evansty01,52,1607,5.9,6.0,1.3,0.4,2.6,2.2,22.6
Bradley Beal\bealbr01,82,2977,4.4,4.5,1.2,0.4,2.6,1.9,22.5
Dennis Schroder\schrode01,67,2078,3.6,7.2,1.2,0.1,3.2,2.5,22.5
Jordan Crawford\crawfjo02,5,53,2.7,8.8,0.7,0.7,3.4,4.8,22.4
Donovan Mitchell\mitchdo01,79,2638,4.0,4.0,1.6,0.4,2.9,2.9,22.1
Zach LaVine\lavinza01,24,656,5.2,4.0,1.3,0.2,2.4,3.0,22.0
Jimmy Butler\butleji01,59,2164,5.2,4.8,1.9,0.4,1.8,1.3,21.7
Julius Randle\randlju01,82,2190,10.7,3.5,0.7,0.7,3.5,4.5,21.7
D'Angelo Russell\russeda01,48,1234,5.5,7.3,1.1,0.5,4.3,2.7,21.7
Paul George\georgpa01,79,2891,5.6,3.3,2.0,0.5,2.6,2.9,21.6
Karl-Anthony Towns\townska01,82,2918,12.5,2.5,0.8,1.4,2.0,3.5,21.5
Jordan Clarkson\clarkjo01,81,1888,4.1,4.2,1.1,0.1,2.4,2.0,21.4
Marreese Speights\speigma01,52,675,7.1,2.1,0.4,1.2,2.1,5.7,21.4
T.J. Warren\warretj01,65,2142,5.6,1.4,1.1,0.7,1.4,2.5,21.4
Michael Beasley\beaslmi01,74,1653,9.0,2.7,0.8,0.9,3.1,3.2,21.3
CJ McCollum\mccolcj01,81,2923,4.0,3.3,0.9,0.4,1.9,2.1,21.3
Trey Burke\burketr01,36,785,3.3,7.8,1.1,0.2,2.0,2.0,21.1
Chris Paul\paulch01,58,1847,6.1,8.9,1.9,0.3,2.5,2.7,21.1
Bobby Portis\portibo01,73,1643,10.9,2.7,1.1,0.5,2.3,2.8,21.1
Klay Thompson\thompkl01,73,2506,4.0,2.7,0.8,0.5,1.8,1.7,21.0
Eric Gordon\gordoer01,69,2154,2.8,2.6,0.7,0.5,2.2,1.9,20.8
Nikola Mirotic\mirotni01,55,1494,9.8,1.9,1.1,0.9,1.5,2.6,20.7
Zach Randolph\randoza01,59,1508,9.5,3.0,1.0,0.2,2.8,2.8,20.5
Eric Bledsoe\bledser01,74,2322,4.4,5.7,2.3,0.7,3.3,2.9,20.4
Nikola Jokic\jokicni01,75,2443,11.8,6.7,1.3,0.9,3.1,3.1,20.4
J.J. Redick\redicjj01,70,2116,3.0,3.6,0.6,0.1,1.8,2.1,20.4
Jonas Valanciunas\valanjo01,77,1727,13.8,1.7,0.6,1.4,2.4,4.0,20.4
Isaiah Thomas\thomais02,32,862,2.8,6.4,0.6,0.1,4.0,2.4,20.3
John Wall\walljo01,41,1410,3.8,10.0,1.5,1.1,4.0,2.0,20.3
Tobias Harris\harrito02,80,2668,5.9,2.6,1.0,0.5,1.4,2.2,20.1
Nikola Vucevic\vucevni01,57,1683,11.2,4.1,1.2,1.3,2.3,3.1,20.1
Isaiah Whitehead\whiteis01,16,180,5.2,4.0,1.6,0.4,4.8,4.6,20.0
Ante Zizic\zizican01,32,214,10.1,0.8,0.3,2.2,1.9,5.0,20.0
Evan Fournier\fournev01,57,1837,3.5,3.2,0.9,0.3,1.9,2.7,19.9
Brook Lopez\lopezbr01,74,1735,6.1,2.6,0.6,2.0,2.0,4.1,19.9
Khris Middleton\middlkh01,82,2982,5.2,4.0,1.4,0.3,2.3,3.3,19.9
Hassan Whiteside\whiteha01,54,1364,16.3,1.4,1.0,2.5,2.4,3.5,19.9
Harrison Barnes\barneha02,77,2634,6.4,2.1,0.7,0.2,1.6,1.3,19.8
Mike Conley\conlemi01,12,373,2.6,4.7,1.2,0.3,1.7,2.3,19.8
Dwight Howard\howardw01,81,2463,14.8,1.5,0.7,1.9,3.0,3.7,19.7
Reggie Jackson\jacksre01,45,1201,3.7,7.1,0.8,0.1,3.0,2.6,19.7
Enes Kanter\kanteen01,71,1830,15.3,2.1,0.7,0.7,2.4,3.7,19.7
Goran Dragic\dragigo01,75,2378,4.6,5.4,1.0,0.2,2.5,2.7,19.6
Rodney Hood\hoodro01,60,1616,3.7,2.1,1.0,0.3,1.6,2.3,19.6
Johnathan Motley\motlejo01,11,176,10.0,1.4,0.6,0.4,1.8,3.7,19.6
Jusuf Nurkic\nurkiju01,79,2088,12.2,2.5,1.1,1.9,3.2,4.3,19.5
Aaron Gordon\gordoaa01,58,1909,8.6,2.6,1.1,0.8,2.0,2.1,19.3
Gerald Green\greenge01,41,929,5.2,1.0,0.9,0.6,1.2,3.4,19.3
Rudy Gay\gayru01,57,1231,8.5,2.1,1.3,1.1,2.3,2.9,19.2
Buddy Hield\hieldbu01,80,2024,5.5,2.8,1.5,0.4,2.2,2.6,19.2
Tim Hardaway\hardati02,57,1885,4.3,3.0,1.2,0.2,1.8,2.3,19.0
Jamal Murray\murraja01,81,2565,4.2,3.8,1.1,0.4,2.4,2.4,19.0
Jrue Holiday\holidjr01,81,2927,4.5,6.0,1.5,0.8,2.6,2.5,18.9
Jeremy Lamb\lambje01,80,1967,5.9,3.4,1.1,0.6,1.7,2.5,18.9
Jabari Parker\parkeja01,31,743,7.3,2.9,1.2,0.5,2.2,2.4,18.9
Marc Gasol\gasolma01,73,2408,8.9,4.6,0.8,1.5,2.9,2.8,18.8
C.J. Miles\milescj01,70,1337,4.1,1.5,1.0,0.6,1.1,3.6,18.8
Al Jefferson\jeffeal01,36,484,10.6,2.2,1.2,1.7,1.6,4.9,18.7
Trey Lyles\lylestr01,73,1391,9.0,2.4,0.8,0.9,1.6,2.9,18.7
Josh Jackson\jacksjo02,77,1959,6.5,2.2,1.5,0.6,2.7,4.0,18.6
Sean Kilpatrick\kilpase01,52,640,4.9,2.6,0.7,0.3,2.1,1.9,18.6
Kyle Kuzma\kuzmaky01,77,2401,7.2,2.1,0.7,0.5,2.1,2.4,18.6
Lauri Markkanen\markkla01,68,2020,9.1,1.4,0.7,0.7,1.5,1.8,18.4
Chris McCullough\mcculch01,19,90,10.0,1.6,0.0,2.0,0.8,3.2,18.4
Shabazz Muhammad\muhamsh01,43,418,6.5,1.2,0.8,0.3,0.5,2.6,18.4
Dennis Smith\smithde03,69,2049,4.6,6.3,1.2,0.3,3.4,2.7,18.4
Gary Harris\harriga01,67,2304,2.7,3.0,1.9,0.2,1.9,1.9,18.3
Marcus Morris\morrima03,54,1447,7.2,1.8,0.9,0.3,1.6,2.5,18.3
Carmelo Anthony\anthoca01,78,2501,6.5,1.5,0.7,0.7,1.4,2.8,18.2
Clint Capela\capelca01,74,2034,14.2,1.2,1.0,2.4,1.8,3.3,18.2
Kyle Lowry\lowryky01,78,2510,6.2,7.7,1.2,0.3,2.6,2.8,18.2
Dwight Buycks\buyckdw01,29,427,3.5,5.0,1.6,0.2,3.3,3.3,18.1
JaVale McGee\mcgeeja01,65,615,9.9,1.9,1.2,3.3,1.6,5.3,18.1
Greg Monroe\monrogr01,51,1040,12.1,3.9,1.5,0.8,3.3,3.3,18.1
J.J. Barea\bareajo01,69,1603,4.5,9.7,0.8,0.1,3.2,1.9,18.0
Marco Belinelli\belinma01,80,1947,2.8,2.7,1.2,0.2,1.7,1.7,18.0
Justin Patton\pattoju01,1,4,0.0,0.0,9.0,0.0,0.0,9.0,18.0
Jamal Crawford\crawfja01,80,1653,2.2,4.0,0.9,0.2,2.1,1.9,17.9
Willy Hernangomez\hernawi01,48,495,13.3,2.4,1.3,1.2,2.5,4.7,17.9
Jahlil Okafor\okafoja01,28,353,8.7,1.2,0.3,1.8,2.1,5.2,17.9
Derrick Rose\rosede01,25,420,3.0,3.2,0.6,0.3,3.0,1.4,17.9
Dwyane Wade\wadedw01,67,1536,5.9,5.3,1.4,1.1,3.3,2.9,17.9
Dario Saric\saricda01,78,2310,8.1,3.1,0.8,0.3,2.3,2.5,17.8
David West\westda01,73,999,8.6,5.0,1.7,2.7,2.9,4.3,17.8
Rondae Hollis-Jefferson\holliro01,68,1920,8.6,3.1,1.2,0.9,2.3,2.7,17.7
Malik Monk\monkma01,63,854,2.8,3.8,0.8,0.4,2.0,2.5,17.7
Mike James\jamesmi02,36,687,4.7,6.6,1.5,0.4,2.6,2.5,17.6
Dirk Nowitzki\nowitdi01,77,1900,8.3,2.3,0.8,0.9,1.0,2.8,17.6
Kelly Olynyk\olynyke01,76,1779,8.7,4.2,1.3,0.7,3.0,4.5,17.6
Adreian Payne\paynead01,5,43,7.5,0.0,1.7,0.0,1.7,5.0,17.6
Dante Exum\exumda01,14,235,4.0,6.6,1.2,0.5,3.1,3.1,17.5
Walt Lemon Jr.\lemonwa01,5,35,2.1,5.1,0.0,1.0,4.1,5.1,17.5
Paul Millsap\millspa01,38,1143,7.7,3.2,1.2,1.4,2.3,3.1,17.5
Andrew Wiggins\wiggian01,82,2979,4.3,1.9,1.1,0.6,1.7,2.0,17.5
Antonio Blakeney\blakean01,19,314,3.8,2.3,0.8,0.1,1.3,2.2,17.3
Brandon Ingram\ingrabr01,59,1975,5.7,4.2,0.8,0.8,2.7,3.0,17.3
Danilo Gallinari\gallida01,21,671,5.4,2.2,0.6,0.5,1.4,1.6,17.2
Wade Baldwin\baldwwa01,7,80,3.6,2.3,0.9,0.5,1.8,5.4,17.1
Frank Kaminsky\kaminfr01,79,1835,5.7,2.5,0.7,0.4,1.3,1.9,17.1
Domantas Sabonis\sabondo01,74,1810,11.4,3.0,0.8,0.6,2.7,4.4,17.1
Mike Scott\scottmi01,76,1406,6.3,2.0,0.6,0.3,2.0,3.8,17.1
Jonathon Simmons\simmojo02,69,2029,4.2,3.0,1.0,0.3,2.6,3.1,17.1
Will Barton\bartowi01,81,2683,5.5,4.4,1.1,0.7,2.0,2.3,17.0
Jaylen Brown\brownja02,70,2152,5.8,1.9,1.2,0.4,2.1,3.0,17.0
Wayne Selden\seldewa01,35,692,2.9,3.4,0.9,0.3,2.8,3.1,16.9
Ben Simmons\simmobe01,81,2732,8.7,8.7,1.8,0.9,3.7,2.8,16.9
Taurean Waller-Prince\princta02,82,2464,5.7,3.1,1.2,0.6,2.8,2.5,16.9
Kent Bazemore\bazemke01,65,1789,5.0,4.6,2.0,0.9,3.2,3.0,16.8
Alec Burks\burksal01,64,1059,6.5,2.3,1.3,0.3,2.0,2.5,16.8
Otto Porter\porteot01,77,2432,7.3,2.3,1.7,0.6,1.1,2.2,16.8
Dion Waiters\waitedi01,30,918,3.0,4.4,0.9,0.4,2.7,2.4,16.8
Bojan Bogdanovic\bogdabo02,80,2464,3.9,1.7,0.8,0.1,1.5,1.9,16.7
Jeff Green\greenje02,78,1828,4.8,1.9,0.8,0.7,1.5,2.9,16.7
Jack Cooley\cooleja01,7,87,12.4,2.5,0.4,0.0,1.2,5.4,16.6
Caris LeVert\leverca01,71,1864,5.0,5.8,1.6,0.4,3.0,3.1,16.6
Avery Bradley\bradlav01,46,1433,2.9,2.4,1.3,0.2,2.5,2.3,16.5
Kris Dunn\dunnkr01,52,1525,5.2,7.3,2.5,0.6,3.5,4.1,16.5
Henry Ellenson\ellenhe01,38,329,8.9,2.2,0.5,0.0,2.0,2.4,16.5
Serge Ibaka\ibakase01,76,2093,8.2,1.1,0.5,1.7,1.5,3.6,16.5
Justin Anderson\anderju01,38,519,6.5,1.7,1.0,0.5,1.1,3.7,16.4
Willie Cauley-Stein\caulewi01,73,2044,9.0,3.0,1.4,1.2,1.9,3.3,16.4
Willie Reed\reedwi02,42,428,10.2,0.8,0.8,1.9,1.6,4.7,16.4
Jayson Tatum\tatumja01,80,2438,5.9,1.9,1.2,0.9,1.7,2.5,16.4
Matt Williams\willima05,3,11,3.3,0.0,0.0,0.0,3.3,3.3,16.4
DeMarre Carroll\carrode01,73,2180,7.9,2.4,1.0,0.5,1.7,2.7,16.2
Allen Crabbe\crabbal01,75,2197,5.3,1.9,0.8,0.6,1.3,2.8,16.2
