,0,1
0,Rio Pinar CC,72
1,Bay Hill Club & Lodge,71
2,Bay Hill Club & Lodge,72
3,Bay Hill Club & Lodge,70
4,Preston Trail GC,70
5,PRESTON TRAIL GC,70
6,Las Colinas Sports Club,71
7,TPC Las Colinas,70
8,TPC Four Seasons Resort,70
9,Trinity Forest Golf Club,71
10,Cypress Point CC,72
11,Pebble Beach GL,72
12,RTJ Trail (Grand National),71
13,Montreux G&CC,72
14,Beverly CC,71
15,Olympia Fields CC,71
16,Sunset Ridge,71
17,Midlothian CC,71
18,Butler National GC,71
19,Butler National GC,72
20,Cog Hill G&CC,72
21,Cog Hill G&CC,71
22,Bellerive CC,70
23,Crooked Stick GC,72
24,Conway Farms GC,71
25,Cherry Hills CC,70
26,Bermuda Dunes CC,72
27,La Quinta CC,72
28,Indian Wells CC,72
29,PGA West (Palmer Course),72
30,The Classic Club,72
31,PGA West (Palmer),72
32,Stadium Course,72
33,The MINES Resort & GC,71
34,TPC Kuala Lumpur,72
35,Corales Golf Club,72
36,TPC Boston,71
37,Torrey Pines (North),72
38,Torrey Pines GC (South),72
39,Colonial CC,70
40,Colonial CC (South),72
41,TPC Southwind,71
42,TPC Southwind,70
43,Rancho Municipal GC,71
44,Riviera CC,71
45,Valencia CC,71
46,Sherwood CC,72
47,Sherwood CC,71
48,Isleworth G&CC,72
49,Albany,72
50,Champions GC,71
51,Westwood CC,72
52,Quail Valley GC,72
53,Woodlands CC,71
54,TPC Woodlands,72
55,Redstone GC (Fall Creek),72
56,GC of Houston,72
57,Crow Valley CC,71
58,Oakwood CC,70
59,TPC Deere Run,71
60,Augusta National GC,72
61,El Camaleon GC,70
62,El Camaleon GC,71
63,Southern Hills CC,70
64,PGA National GC,72
65,Oakland Hills (South),70
66,Canterbury GC,71
67,Tanglewood GC,70
68,Firestone CC (South),70
69,Congressional CC (Blue),70
70,Oakmont CC (South),71
71,Oakland Hills CC (South),70
72,Oak Hill CC,70
73,Atlanta Athletic Club,70
74,Shoal Creek GC,72
75,Cherry Hills CC,71
