Date,Tournament Name,POS,1,2,3,4,5,"Total
Score",To PAR,FedExCup Rank,FedExCup Points
11/05/17,Shriners Hospitals for Children Open,T18,68,71,71,70,--,280,-4,85,48
11/12/17,OHL Classic at Mayakoba,CUT,71,73,--,--,--,144,2,95,--
12/3/17,Hero World Challenge *,2,69,63,70,72,--,274,-14,--,--
12/10/17,QBE Shootout *,T8,65,70,63,--,--,198,-18,--,--
1/28/18,Farmers Insurance Open,T35,71,70,71,75,--,287,-1,129,17
2/4/18,Waste Management Phoenix Open,T26,72,68,68,68,--,276,-8,110,31
02/11/18,AT&T Pebble Beach Pro-Am,W/D,67,73,--,--,--,140,-3,117,--
2/18/18,Genesis Open,T41,75,69,69,71,--,284,E,114,12
3/4/18,World Golf Championships-Mexico Championship,T20,70,66,70,72,--,278,-6,102,46
03/11/18,Valspar Championship,CUT,75,75,--,--,--,150,8,108,--
03/18/18,Arnold Palmer Invitational presented by Mastercard,T14,71,66,71,74,--,282,-6,94,50
3/25/18,World Golf Championships-Dell Technologies Match Play,T36,--,--,--,--,--,--,--,98,15
10/16/16,Safeway Open,CUT,69,73,--,--,--,142,-2,--,--
11/6/16,Shriners Hospitals for Children Open,CUT,73,74,--,--,--,147,5,--,--
11/13/16,OHL Classic at Mayakoba,CUT,71,70,--,--,--,141,-1,--,--
12/10/16,Franklin Templeton Shootout *,T3,61,68,61,--,--,190,-26,--,--
1/8/17,SBS Tournament of Champions,T17,71,70,71,69,--,281,-11,110,49
01/22/17,CareerBuilder Challenge,CUT,70,71,76,--,--,217,1,131,--
01/29/17,Farmers Insurance Open,T54,74,70,68,76,--,288,E,130,5
2/5/17,Waste Management Phoenix Open,T24,72,67,69,67,--,275,-9,113,30
2/12/17,AT&T Pebble Beach Pro-Am,CUT,75,70,73,--,--,218,3,120,--
2/19/17,Genesis Open,T4,68,68,70,67,--,273,-11,68,109
3/12/17,Valspar Championship,CUT,73,74,--,--,--,147,5,86,--
03/19/17,Arnold Palmer Invitational presented by Mastercard,T2,68,66,71,73,--,278,-10,28,245
4/2/17,Shell Houston Open,T23,71,72,69,71,--,283,-5,27,31
4/9/17,Masters Tournament,T22,65,75,72,78,--,290,2,25,42
4/16/17,RBC Heritage,CUT,73,73,--,--,--,146,4,31,--
04/23/17,Valero Texas Open,T40,71,72,73,74,--,290,2,31,12
4/30/17,Zurich Classic of New Orleans,T5,67,65,69,68,--,269,-19,30,59
5/14/17,THE PLAYERS Championship,T30,74,72,72,71,--,289,1,35,28
05/21/17,AT&T Byron Nelson,T40,72,69,66,72,--,279,-1,34,12
5/28/17,DEAN & DELUCA Invitational,T24,72,68,67,72,--,279,-1,33,34
6/4/17,the Memorial Tournament presented by Nationwide,T45,72,71,72,75,--,290,2,35,10
06/18/17,U.S. Open,8,70,70,68,71,--,279,-9,30,94
06/25/17,Travelers Championship,T3,69,67,68,66,--,270,-10,20,163
07/16/17,John Deere Classic,T39,67,68,69,70,--,274,-10,24,15
7/23/17,The Open Championship,T20,67,73,72,67,--,279,-1,24,50
7/30/17,RBC Canadian Open,2,68,66,65,68,--,267,-21,12,300
8/6/17,World Golf Championships-Bridgestone Invitational,3,68,69,67,66,--,270,-10,11,200
08/13/17,PGA Championship,T48,75,71,73,70,--,289,5,11,9
8/27/17,THE NORTHERN TRUST,T17,72,70,70,65,--,277,-3,11,196
9/4/17,Dell Technologies Championship,T47,72,71,73,68,--,284,E,11,35
09/17/17,BMW Championship,T27,64,71,67,73,--,275,-9,11,115
9/24/17,TOUR Championship,T28,73,73,71,72,--,289,9,11,121
10/25/15,Shriners Hospitals for Children Open,CUT,71,71,--,--,--,142,E,--,--
11/15/15,OHL Classic at Mayakoba,CUT,71,70,--,--,--,141,-1,--,--
12/12/15,Franklin Templeton Shootout *,T3,60,64,66,--,--,190,-26,--,--
01/24/16,CareerBuilder Challenge in partnership with the Clinton Foundation,CUT,67,71,71,--,--,209,-7,--,--
1/31/16,Farmers Insurance Open,T43,75,68,70,80,--,293,5,183,26
02/07/16,Waste Management Phoenix Open,T51,72,70,72,70,--,284,E,166,18
