Date,Tournament Name,POS,1,2,3,4,5,"Total
Score",To PAR,FedExCup Rank,FedExCup Points
10/29/17,World Golf Championships-HSBC Champions,T2,68,63,68,77,--,276,-12,12,218
12/03/17,Hero World Challenge *,T14,68,72,76,72,--,288,E,--,--
01/07/18,Sentry Tournament of Champions,1,69,68,66,65,--,268,-24,2,500
2/11/18,AT&T Pebble Beach Pro-Am,T2,67,64,70,72,--,273,-14,3,184
2/18/18,Genesis Open,T16,74,69,64,73,--,280,-4,2,50
03/04/18,World Golf Championships-Mexico Championship,T7,69,66,68,69,--,272,-12,4,92
10/30/16,World Golf Championships-HSBC Champions,T35,74,74,70,69,--,287,-1,89,22
12/04/16,Hero World Challenge *,T3,66,66,72,71,--,275,-13,--,--
01/08/17,SBS Tournament of Champions,T6,69,70,69,69,--,277,-15,59,92
1/29/17,Farmers Insurance Open,CUT,72,74,--,--,--,146,2,85,--
2/12/17,AT&T Pebble Beach Pro-Am,3,70,69,66,68,--,273,-14,33,190
2/19/17,Genesis Open,1,66,66,64,71,--,267,-17,6,500
03/05/17,World Golf Championships-Mexico Championship,1,70,66,66,68,--,270,-14,3,550
3/26/17,World Golf Championships-Dell Technologies Match Play,1,--,--,--,--,--,--,--,1,550
05/07/17,Wells Fargo Championship,T2,70,75,67,67,--,279,-9,1,245
5/14/17,THE PLAYERS Championship,T12,71,73,74,68,--,286,-2,1,66
5/21/17,AT&T Byron Nelson,T13,67,67,71,69,--,274,-6,1,55
06/04/17,the Memorial Tournament presented by Nationwide,CUT,78,74,--,--,--,152,8,1,--
6/18/17,U.S. Open,CUT,75,73,--,--,--,148,4,1,--
7/23/17,The Open Championship,T54,71,72,64,77,--,284,4,2,6
7/30/17,RBC Canadian Open,T8,67,69,68,67,--,271,-17,2,83
08/06/17,World Golf Championships-Bridgestone Invitational,T17,68,75,68,66,--,277,-3,3,50
8/13/17,PGA Championship,T13,70,74,73,67,--,284,E,4,57
8/27/17,THE NORTHERN TRUST,1,65,69,67,66,--,267,-13,4,"2,000"
09/04/17,Dell Technologies Championship,T18,66,72,66,73,--,277,-7,4,184
9/17/17,BMW Championship,T33,71,72,69,64,--,276,-8,4,80
9/24/17,TOUR Championship,T17,68,69,69,72,--,278,-2,4,200
10/01/17,Presidents Cup *,1,--,--,--,--,--,--,--,--,--
11/08/15,World Golf Championships-HSBC Champions,T5,65,71,65,71,--,272,-16,35,110
12/06/15,Hero World Challenge *,15,68,69,72,71,--,280,-8,--,--
1/10/16,Hyundai Tournament of Champions,T10,73,67,68,69,--,277,-15,34,65
1/31/16,Farmers Insurance Open,T18,70,66,74,80,--,290,2,41,50
2/14/16,AT&T Pebble Beach Pro-Am,T41,70,73,71,71,--,285,-2,52,26
2/21/16,Northern Trust Open,4,68,66,68,69,--,271,-13,32,135
03/06/16,World Golf Championships-Cadillac Championship,T14,72,64,71,79,--,286,-2,30,59
3/27/16,World Golf Championships-Dell Match Play,T5,--,--,--,--,--,--,--,26,101
