Date,Tournament Name,POS,1,2,3,4,5,"Total
Score",To PAR,FedExCup Rank,FedExCup Points
10/29/17,World Golf Championships-HSBC Champions,1,67,68,72,67,--,274,-14,3,550
12/03/17,Hero World Challenge *,T5,68,68,71,70,--,277,-11,--,--
01/28/18,Farmers Insurance Open,T8,69,70,69,74,--,282,-6,10,78
3/4/18,World Golf Championships-Mexico Championship,T37,71,72,73,67,--,283,-1,15,17
3/11/18,Valspar Championship,T5,70,69,66,72,--,277,-7,15,105
03/18/18,Arnold Palmer Invitational presented by Mastercard,3,69,71,67,67,--,274,-14,6,190
4/1/18,Houston Open,T52,68,69,72,72,--,281,-7,7,6
12/04/16,Hero World Challenge *,W/D,74,--,--,--,--,74,2,--,--
01/15/17,Sony Open in Hawaii,2,66,64,66,64,--,260,-20,15,300
1/29/17,Farmers Insurance Open,T4,65,71,73,70,--,279,-9,14,104
2/12/17,AT&T Pebble Beach Pro-Am,T39,72,70,68,73,--,283,-4,17,13
2/19/17,Genesis Open,T4,69,71,65,68,--,273,-11,14,109
03/05/17,World Golf Championships-Mexico Championship,T38,70,72,71,71,--,284,E,14,17
3/19/17,Arnold Palmer Invitational presented by Mastercard,T13,71,70,70,73,--,284,-4,15,56
04/02/17,Shell Houston Open,T15,67,71,73,70,--,281,-7,16,51
4/9/17,Masters Tournament,2,71,72,67,69,--,279,-9,9,330
4/30/17,Zurich Classic of New Orleans,CUT,72,66,--,--,--,138,-6,9,--
05/14/17,THE PLAYERS Championship,T65,74,71,71,80,--,296,8,11,4
6/18/17,U.S. Open,CUT,72,74,--,--,--,146,2,19,--
7/23/17,The Open Championship,T54,71,74,69,70,--,284,4,23,6
8/6/17,World Golf Championships-Bridgestone Invitational,T63,72,69,74,73,--,288,8,28,5
08/13/17,PGA Championship,CUT,76,72,--,--,--,148,6,30,--
8/27/17,THE NORTHERN TRUST,T10,68,68,69,71,--,276,-4,32,249
9/4/17,Dell Technologies Championship,T10,72,65,69,68,--,274,-10,32,290
09/17/17,BMW Championship,T2,67,68,66,65,--,266,-18,32,980
9/24/17,TOUR Championship,T10,68,66,71,69,--,274,-6,32,280
10/18/15,Frys.com Open,T6,67,69,68,72,--,276,-12,6,89
12/06/15,Hero World Challenge *,13,71,72,70,62,--,275,-13,--,--
01/31/16,Farmers Insurance Open,CUT,71,73,--,--,--,144,E,132,--
02/14/16,AT&T Pebble Beach Pro-Am,T6,66,68,72,69,--,275,-12,87,95
2/21/16,Northern Trust Open,T16,69,68,69,71,--,277,-7,71,54
3/6/16,World Golf Championships-Cadillac Championship,T17,75,73,72,67,--,287,-1,54,52
3/20/16,Arnold Palmer Invitational presented by MasterCard,T9,68,66,71,73,--,278,-10,48,75
3/27/16,World Golf Championships-Dell Match Play,T28,--,--,--,--,--,--,--,49,39
04/10/16,Masters Tournament,T10,69,77,73,70,--,289,1,47,73
5/1/16,Zurich Classic of New Orleans,CUT,72,72,--,--,--,144,E,58,--
05/08/16,Wells Fargo Championship,3,70,70,69,71,--,280,-8,32,190
5/15/16,THE PLAYERS Championship,T19,65,74,78,66,--,283,-5,30,51
6/19/16,U.S. Open,CUT,72,76,--,--,--,148,8,40,--
7/3/16,World Golf Championships-Bridgestone Invitational,T46,69,76,73,72,--,290,10,45,24
07/17/16,The Open Championship,T22,68,77,70,70,--,285,1,46,46
7/31/16,PGA Championship,T22,70,72,66,68,--,276,-4,47,44
8/14/16,Olympic Men's Golf Competition *,1,67,69,65,67,--,268,-16,--,--
08/28/16,The Barclays,T31,73,70,70,71,--,284,E,51,142
9/5/16,Deutsche Bank Championship,T57,68,67,69,79,--,283,-1,51,46
9/11/16,BMW Championship,T24,74,70,70,68,--,282,-6,51,174
11/9/14,World Golf Championships-HSBC Champions,T48,72,71,76,74,--,293,5,167,21
12/07/14,Hero World Challenge *,T6,72,64,70,71,--,277,-11,--,--
2/8/15,Farmers Insurance Open,CUT,74,70,--,--,--,144,E,196,--
3/1/15,The Honda Classic,CUT,73,72,--,--,--,145,5,206,--
03/08/15,World Golf Championships-Cadillac Championship,55,73,74,73,77,--,297,9,202,16
03/15/15,Valspar Championship,CUT,74,72,--,--,--,146,4,205,--
