Date,Tournament Name,POS,1,2,3,4,5,"Total
Score",To PAR,FedExCup Rank,FedExCup Points
10/15/17,CIMB Classic,T7,77,63,69,65,--,274,-14,18,85
10/22/17,THE CJ CUP @ NINE BRIDGES,T19,72,71,69,74,--,286,-2,20,44
10/29/17,World Golf Championships-HSBC Champions,T11,71,72,69,71,--,283,-5,16,67
02/11/18,AT&T Pebble Beach Pro-Am,T8,67,70,70,70,--,277,-10,45,70
2/18/18,Genesis Open,T49,73,71,71,70,--,285,1,52,8
3/4/18,World Golf Championships-Mexico Championship,T12,73,68,68,66,--,275,-9,39,67
03/11/18,Valspar Championship,1,70,68,71,65,--,274,-10,8,500
3/25/18,World Golf Championships-Dell Technologies Match Play,T17,--,--,--,--,--,--,--,10,45
10/16/16,Safeway Open,T3,64,68,71,69,--,272,-16,3,134
10/23/16,CIMB Classic,T21,65,72,70,70,--,277,-11,7,39
10/30/16,World Golf Championships-HSBC Champions,T12,67,70,72,69,--,278,-10,8,67
1/15/17,Sony Open in Hawaii,CUT,73,67,--,--,--,140,E,27,--
01/22/17,CareerBuilder Challenge,T58,67,69,71,75,--,282,-6,32,5
1/29/17,Farmers Insurance Open,T28,69,73,68,73,--,283,-5,32,28
2/19/17,Genesis Open,T39,69,72,71,69,--,281,-3,37,13
02/26/17,The Honda Classic,T11,68,70,67,70,--,275,-5,31,65
3/5/17,World Golf Championships-Mexico Championship,T16,74,71,67,66,--,278,-6,24,54
03/19/17,Arnold Palmer Invitational presented by Mastercard,T41,68,72,71,78,--,289,1,31,14
03/26/17,World Golf Championships-Dell Technologies Match Play,T9,--,--,--,--,--,--,--,20,68
4/9/17,Masters Tournament,6,72,75,69,68,--,284,-4,22,110
5/7/17,Wells Fargo Championship,T12,70,75,70,68,--,283,-5,24,57
5/14/17,THE PLAYERS Championship,T22,71,69,77,71,--,288,E,26,40
5/28/17,DEAN & DELUCA Invitational,T10,69,66,68,73,--,276,-4,23,73
06/18/17,U.S. Open,26,66,71,75,74,--,286,-2,27,39
6/25/17,Travelers Championship,T5,68,68,66,69,--,271,-9,22,100
7/23/17,The Open Championship,T11,66,77,67,67,--,277,-3,25,72
