Date,Tournament Name,POS,1,2,3,4,5,"Total
Score",To PAR,FedExCup Rank,FedExCup Points
11/12/17,OHL Classic at Mayakoba,2,65,67,67,67,--,266,-18,14,300
12/03/17,Hero World Challenge *,1,67,70,72,61,--,270,-18,--,--
1/7/18,Sentry Tournament of Champions,T4,69,71,68,70,--,278,-14,13,115
01/28/18,Farmers Insurance Open,CUT,72,72,--,--,--,144,E,19,--
2/4/18,Waste Management Phoenix Open,T11,66,66,67,73,--,272,-12,18,60
2/25/18,The Honda Classic,CUT,71,76,--,--,--,147,7,25,--
03/04/18,World Golf Championships-Mexico Championship,T37,68,70,70,75,--,283,-1,25,17
3/18/18,Arnold Palmer Invitational presented by Mastercard,T14,67,71,70,74,--,282,-6,25,50
4/1/18,Houston Open,T43,66,68,73,73,--,280,-8,31,10
10/30/16,World Golf Championships-HSBC Champions,T6,65,73,68,68,--,274,-14,27,96
11/27/16,ISPS HANDA World Cup of Golf *,T2,70,67,69,66,--,272,-16,--,--
12/4/16,Hero World Challenge *,T3,68,70,68,69,--,275,-13,--,--
01/29/17,Farmers Insurance Open,CUT,72,75,--,--,--,147,3,91,--
2/5/17,Waste Management Phoenix Open,T4,67,68,69,65,--,269,-15,48,123
2/26/17,The Honda Classic,1,66,66,65,71,--,268,-12,10,500
03/05/17,World Golf Championships-Mexico Championship,T16,69,69,73,67,--,278,-6,9,54
3/19/17,Arnold Palmer Invitational presented by Mastercard,12,74,72,65,72,--,283,-5,9,65
04/02/17,Shell Houston Open,T3,64,71,67,70,--,272,-16,8,163
04/09/17,Masters Tournament,T11,73,67,71,76,--,287,-1,8,68
4/30/17,Zurich Classic of New Orleans,CUT,71,68,--,--,--,139,-5,8,--
5/14/17,THE PLAYERS Championship,T60,70,74,72,79,--,295,7,8,5
6/4/17,the Memorial Tournament presented by Nationwide,T2,70,66,72,70,--,278,-10,8,245
6/11/17,FedEx St. Jude Classic,CUT,74,70,--,--,--,144,4,8,--
06/18/17,U.S. Open,T5,65,73,68,72,--,278,-10,8,110
7/2/17,Quicken Loans National,T3,70,72,68,65,--,275,-5,6,163
7/23/17,The Open Championship,T22,71,71,67,71,--,280,E,6,42
8/6/17,World Golf Championships-Bridgestone Invitational,9,70,71,67,66,--,274,-6,6,83
08/13/17,PGA Championship,T5,69,70,73,67,--,279,-5,5,115
8/27/17,THE NORTHERN TRUST,T20,68,66,74,70,--,278,-2,5,164
9/4/17,Dell Technologies Championship,T13,69,71,66,70,--,276,-8,5,221
09/17/17,BMW Championship,T2,65,64,70,67,--,266,-18,5,980
9/24/17,TOUR Championship,T26,73,74,70,69,--,286,6,5,133
