Date,Tournament Name,POS,1,2,3,4,5,"Total
Score",To PAR,FedExCup Rank,FedExCup Points
10/15/17,CIMB Classic,T5,70,68,63,71,--,272,-16,12,105
10/29/17,World Golf Championships-HSBC Champions,T50,74,74,72,72,--,292,4,33,8
12/03/17,Hero World Challenge *,T5,71,66,72,68,--,277,-11,--,--
1/7/18,Sentry Tournament of Champions,T4,70,70,72,66,--,278,-14,28,115
1/28/18,Farmers Insurance Open,T12,72,69,73,69,--,283,-5,32,55
02/04/18,Waste Management Phoenix Open,W/D,69,--,--,--,--,69,-2,41,--
3/4/18,World Golf Championships-Mexico Championship,DNS,--,--,--,--,--,--,--,56,--
03/18/18,Arnold Palmer Invitational presented by Mastercard,T49,70,72,71,74,--,287,-1,67,8
03/25/18,World Golf Championships-Dell Technologies Match Play,T36,--,--,--,--,--,--,--,71,15
10/23/16,CIMB Classic,2,69,64,69,66,--,268,-20,3,300
10/30/16,World Golf Championships-HSBC Champions,1,66,65,68,66,--,265,-23,1,550
11/27/16,ISPS HANDA World Cup of Golf *,T6,73,65,71,65,--,274,-14,--,--
12/04/16,Hero World Challenge *,1,65,67,65,73,--,270,-18,--,--
1/8/17,SBS Tournament of Champions,2,69,68,66,70,--,273,-19,1,300
01/15/17,Sony Open in Hawaii,T27,66,67,67,69,--,269,-11,2,27
1/29/17,Farmers Insurance Open,T33,71,70,71,72,--,284,-4,2,21
2/5/17,Waste Management Phoenix Open,1,65,68,68,66,--,267,-17,1,500
02/19/17,Genesis Open,CUT,68,80,--,--,--,148,6,1,--
3/5/17,World Golf Championships-Mexico Championship,T25,72,72,66,71,--,281,-3,2,39
3/19/17,Arnold Palmer Invitational presented by Mastercard,T45,73,69,72,76,--,290,2,1,10
3/26/17,World Golf Championships-Dell Technologies Match Play,T51,--,--,--,--,--,--,--,2,8
04/09/17,Masters Tournament,T11,76,70,74,67,--,287,-1,2,68
4/30/17,Zurich Classic of New Orleans,T32,69,66,75,65,--,275,-13,3,4
5/14/17,THE PLAYERS Championship,T22,72,71,76,69,--,288,E,2,40
06/04/17,the Memorial Tournament presented by Nationwide,T45,70,74,76,70,--,290,2,3,10
6/18/17,U.S. Open,T2,74,65,71,66,--,276,-12,2,270
7/23/17,The Open Championship,T14,68,72,66,72,--,278,-2,3,58
08/06/17,World Golf Championships-Bridgestone Invitational,1,69,67,67,61,--,264,-16,1,550
08/13/17,PGA Championship,T5,70,64,73,72,--,279,-5,1,115
08/27/17,THE NORTHERN TRUST,CUT,74,69,--,--,--,143,3,1,--
9/4/17,Dell Technologies Championship,T23,72,71,70,66,--,279,-5,1,152
9/17/17,BMW Championship,T47,72,68,70,69,--,279,-5,1,37
9/24/17,TOUR Championship,T26,75,68,73,70,--,286,6,1,133
10/18/15,Frys.com Open,T17,70,70,69,69,--,278,-10,17,50
11/01/15,CIMB Classic,5,65,66,68,67,--,266,-22,11,110
