Date,Tournament Name,POS,1,2,3,4,5,"Total
Score",To PAR,FedExCup Rank,FedExCup Points
12/03/17,Hero World Challenge *,T3,68,67,72,69,--,276,-12,--,--
01/07/18,Sentry Tournament of Champions,9,75,66,70,69,--,280,-12,92,80
1/14/18,Sony Open in Hawaii,T18,69,68,66,66,--,269,-11,74,43
02/04/18,Waste Management Phoenix Open,CUT,72,70,--,--,--,142,E,92,--
2/11/18,AT&T Pebble Beach Pro-Am,T20,72,66,70,71,--,279,-8,80,40
2/18/18,Genesis Open,T9,71,70,69,67,--,277,-7,65,70
03/04/18,World Golf Championships-Mexico Championship,T14,70,67,69,70,--,276,-8,52,58
3/11/18,Valspar Championship,CUT,76,71,--,--,--,147,5,57,--
3/25/18,World Golf Championships-Dell Technologies Match Play,T17,--,--,--,--,--,--,--,57,45
12/04/16,Hero World Challenge *,T6,68,69,70,70,--,277,-11,--,--
01/08/17,SBS Tournament of Champions,T3,72,69,70,65,--,276,-16,39,145
1/15/17,Sony Open in Hawaii,3,65,67,66,63,--,261,-19,12,190
02/05/17,Waste Management Phoenix Open,T9,70,68,67,67,--,272,-12,16,75
2/12/17,AT&T Pebble Beach Pro-Am,1,68,65,65,70,--,268,-19,3,500
2/19/17,Genesis Open,T22,69,68,72,69,--,278,-6,3,37
03/05/17,World Golf Championships-Mexico Championship,T12,71,72,63,71,--,277,-7,4,64
3/26/17,World Golf Championships-Dell Technologies Match Play,T30,--,--,--,--,--,--,--,7,26
04/02/17,Shell Houston Open,CUT,69,77,--,--,--,146,2,7,--
04/09/17,Masters Tournament,T11,75,69,68,75,--,287,-1,6,68
4/30/17,Zurich Classic of New Orleans,4,66,66,70,64,--,266,-22,6,88
5/14/17,THE PLAYERS Championship,CUT,73,75,--,--,--,148,4,7,--
5/21/17,AT&T Byron Nelson,CUT,68,75,--,--,--,143,3,7,--
5/28/17,DEAN & DELUCA Invitational,T2,70,68,68,65,--,271,-9,5,208
06/04/17,the Memorial Tournament presented by Nationwide,T13,66,72,71,73,--,282,-6,5,59
6/18/17,U.S. Open,T35,73,71,76,69,--,289,1,6,20
6/25/17,Travelers Championship,1,63,69,66,70,--,268,-12,4,500
7/23/17,The Open Championship,1,65,69,65,69,--,268,-12,1,600
08/06/17,World Golf Championships-Bridgestone Invitational,T13,67,70,71,68,--,276,-4,2,61
8/13/17,PGA Championship,T28,72,73,71,70,--,286,2,3,32
8/27/17,THE NORTHERN TRUST,2,69,65,64,69,--,267,-13,3,"1,200"
09/04/17,Dell Technologies Championship,2,72,65,66,67,--,270,-14,3,"1,200"
9/17/17,BMW Championship,T7,65,70,71,65,--,271,-13,3,350
9/24/17,TOUR Championship,T7,67,70,69,67,--,273,-7,3,340
10/01/17,Presidents Cup *,1,--,--,--,--,--,--,--,--,--
11/08/15,World Golf Championships-HSBC Champions,T7,68,72,63,70,--,273,-15,52,86
12/06/15,Hero World Challenge *,4,67,66,68,67,--,268,-20,--,--
1/10/16,Hyundai Tournament of Champions,1,66,64,65,67,--,262,-30,7,500
2/14/16,AT&T Pebble Beach Pro-Am,T21,71,69,74,66,--,280,-7,12,48
2/21/16,Northern Trust Open,CUT,79,68,--,--,--,147,5,13,--
03/06/16,World Golf Championships-Cadillac Championship,T17,69,72,73,73,--,287,-1,14,52
3/13/16,Valspar Championship,T18,76,68,67,73,--,284,E,13,52
3/27/16,World Golf Championships-Dell Match Play,T9,--,--,--,--,--,--,--,13,68
04/03/16,Shell Houston Open,T13,67,73,70,70,--,280,-8,13,56
4/10/16,Masters Tournament,T2,66,74,73,73,--,286,-2,5,270
5/15/16,THE PLAYERS Championship,CUT,72,71,--,--,--,143,-1,10,--
5/22/16,AT&T Byron Nelson,T18,64,65,67,74,--,270,-10,7,51
5/29/16,DEAN & DELUCA Invitational,1,67,66,65,65,--,263,-17,3,500
06/05/16,the Memorial Tournament presented by Nationwide,T57,70,68,74,73,--,285,-3,3,13
6/19/16,U.S. Open,T37,72,72,70,75,--,289,9,4,30
07/03/16,World Golf Championships-Bridgestone Invitational,T3,68,71,71,67,--,277,-3,4,140
7/17/16,The Open Championship,T30,71,75,72,68,--,286,2,4,39
7/31/16,PGA Championship,T13,70,67,69,68,--,274,-6,4,62
8/28/16,The Barclays,T10,71,67,72,69,--,279,-5,5,290
09/05/16,Deutsche Bank Championship,T21,68,68,72,69,--,277,-7,5,196
9/11/16,BMW Championship,9,68,72,68,69,--,277,-11,5,320
9/25/16,TOUR Championship,T17,68,72,72,68,--,280,E,5,208
10/02/16,Ryder Cup *,1,--,--,--,--,--,--,--,--,--
11/09/14,World Golf Championships-HSBC Champions,T35,70,74,72,74,--,290,2,146,34
12/07/14,Hero World Challenge *,1,66,67,63,66,--,262,-26,--,--
02/01/15,Waste Management Phoenix Open,T7,70,68,70,65,--,273,-11,103,85
02/08/15,Farmers Insurance Open,CUT,72,75,--,--,--,147,3,118,--
2/15/15,AT&T Pebble Beach National Pro-Am,T7,68,67,68,68,--,271,-16,73,85
2/22/15,Northern Trust Open,T4,69,70,70,70,--,279,-5,45,109
03/08/15,World Golf Championships-Cadillac Championship,T17,75,69,73,72,--,289,1,44,52
3/15/15,Valspar Championship,1,70,67,68,69,--,274,-10,7,500
3/29/15,Valero Texas Open,2,71,69,71,70,--,281,-7,2,300
04/05/15,Shell Houston Open,T2,69,66,67,70,--,272,-16,2,245
4/12/15,Masters Tournament,1,64,66,70,70,--,270,-18,1,600
4/19/15,RBC Heritage,T11,74,62,68,70,--,274,-10,1,63
05/03/15,World Golf Championships-Cadillac Match Play,T17,--,--,--,--,--,--,--,1,46
5/10/15,THE PLAYERS Championship,CUT,75,72,--,--,--,147,3,1,--
5/24/15,Crowne Plaza Invitational at Colonial,T2,64,73,67,65,--,269,-11,1,208
5/31/15,AT&T Byron Nelson,T30,69,64,68,69,--,270,-7,1,40
06/07/15,the Memorial Tournament presented by Nationwide,T3,68,70,72,65,--,275,-13,1,163
6/21/15,U.S. Open,1,68,67,71,69,--,275,-5,1,600
7/12/15,John Deere Classic,1,71,64,61,68,--,264,-20,1,500
7/19/15,The Open Championship,T4,67,72,66,69,--,274,-14,1,135
08/09/15,World Golf Championships-Bridgestone Invitational,T10,70,68,72,66,--,276,-4,1,76
8/16/15,PGA Championship,2,71,67,65,68,--,271,-17,1,330
8/30/15,The Barclays,CUT,74,73,--,--,--,147,7,1,--
09/07/15,Deutsche Bank Championship,CUT,75,73,--,--,--,148,6,1,--
9/20/15,BMW Championship,T13,65,66,72,70,--,273,-11,1,223
9/27/15,TOUR Championship by Coca-Cola,1,68,66,68,69,--,271,-9,1,"2,000"
10/11/15,The Presidents Cup *,1,--,--,--,--,--,--,--,--,--
11/03/13,World Golf Championships-HSBC Champions,17,68,71,70,69,--,278,-10,73,55
12/08/13,Northwestern Mutual World Challenge *,T16,77,72,77,71,--,297,9,--,--
01/06/14,Hyundai Tournament of Champions,2,66,70,69,69,--,274,-18,11,300
1/12/14,Sony Open in Hawaii,CUT,70,71,--,--,--,141,1,12,--
1/26/14,Farmers Insurance Open,T19,71,63,75,75,--,284,-4,15,51
02/09/14,AT&T Pebble Beach National Pro-Am,T4,67,67,78,67,--,279,-8,14,123
2/16/14,Northern Trust Open,T12,72,66,67,71,--,276,-8,13,58
2/23/14,World Golf Championships-Accenture Match Play Championship,T5,--,--,--,--,--,--,--,12,101
03/09/14,World Golf Championships-Cadillac Championship,T34,73,79,73,69,--,294,6,11,35
3/16/14,Valspar Championship,T20,71,70,71,72,--,284,E,11,49
3/30/14,Valero Texas Open,10,75,70,68,71,--,284,-4,12,75
04/06/14,Shell Houston Open,CUT,70,75,--,--,--,145,1,12,--
4/13/14,Masters Tournament,T2,71,70,70,72,--,283,-5,6,270
4/20/14,RBC Heritage,T12,69,74,70,67,--,280,-4,7,58
5/11/14,THE PLAYERS Championship,T4,67,66,71,74,--,278,-10,6,135
5/18/14,HP Byron Nelson Championship,T37,70,67,73,68,--,278,-2,6,31
5/25/14,Crowne Plaza Invitational at Colonial,T14,67,69,70,69,--,275,-5,5,54
06/01/14,the Memorial Tournament presented by Nationwide Insurance,T19,69,72,67,75,--,283,-5,5,48
6/15/14,U.S. Open,T17,69,70,72,73,--,284,4,6,54
6/29/14,Quicken Loans National,T11,74,70,69,71,--,284,E,5,59
7/13/14,John Deere Classic,T7,71,64,67,66,--,268,-16,5,83
7/20/14,The Open Championship,T36,71,75,67,73,--,286,-2,5,34
08/03/14,World Golf Championships-Bridgestone Invitational,49,71,70,73,71,--,285,5,7,22
8/10/14,PGA Championship,CUT,71,77,--,--,--,148,6,8,--
8/24/14,The Barclays,T22,70,70,72,67,--,279,-5,8,228
09/01/14,Deutsche Bank Championship,T29,67,70,69,73,--,279,-5,8,198
09/07/14,BMW Championship,T8,67,70,68,67,--,272,-8,8,400
9/14/14,TOUR Championship by Coca-Cola,T27,71,70,80,71,--,292,12,8,218
9/28/14,Ryder Cup *,--,--,--,--,--,--,--,--,--,--
1/27/13,Farmers Insurance Open,CUT,72,73,--,--,--,145,1,--,--
2/10/13,AT&T Pebble Beach National Pro-Am,T22,70,70,68,70,--,278,-8,--,--
3/10/13,Puerto Rico Open presented by seepuertorico.com,T2,69,66,67,67,--,269,-19,--,--
3/17/13,Tampa Bay Championship presented by EverBank,T7,72,68,69,70,--,279,-5,--,--
3/31/13,Shell Houston Open,T50,72,70,74,69,--,285,-3,53,19
04/07/13,Valero Texas Open,CUT,71,76,--,--,--,147,3,66,--
4/21/13,RBC Heritage,T9,70,69,69,73,--,281,-3,57,64
4/28/13,Zurich Classic of New Orleans,CUT,76,69,--,--,--,145,1,62,--
05/05/13,Wells Fargo Championship,T32,69,71,75,73,--,288,E,57,37
5/19/13,HP Byron Nelson Championship,T68,69,68,73,75,--,285,5,66,3
5/26/13,Crowne Plaza Invitational at Colonial,T7,65,67,71,67,--,270,-10,57,83
06/02/13,the Memorial Tournament presented by Nationwide Insurance,T63,72,73,82,68,--,295,7,60,8
6/16/13,U.S. Open,CUT,77,76,--,--,--,153,13,63,--
6/30/13,AT&T National,6,69,66,74,69,--,278,-6,59,100
07/07/13,The Greenbrier Classic,T23,67,67,67,73,--,274,-6,56,45
7/14/13,John Deere Classic,1,70,65,65,65,--,265,-19,11,500
7/21/13,The Open Championship,T44,69,74,76,75,--,294,10,12,23
8/11/13,PGA Championship,CUT,74,74,--,--,--,148,8,16,--
8/18/13,Wyndham Championship,2,65,66,70,65,--,266,-14,8,300
8/25/13,The Barclays,T19,70,68,68,73,--,279,-5,8,248
09/02/13,Deutsche Bank Championship,T4,67,66,72,62,--,267,-17,8,563
9/15/13,BMW Championship,T16,71,65,73,68,--,277,-7,8,273
9/22/13,TOUR Championship by Coca-Cola,T2,68,67,71,64,--,270,-10,8,"1,250"
10/06/13,The Presidents Cup *,1,--,--,--,--,--,--,--,--,--
2/19/12,Northern Trust Open,CUT,76,71,--,--,--,147,5,--,--
4/22/12,Valero Texas Open,T41,75,70,72,75,--,292,4,--,--
6/17/12,U.S. Open,T21,74,74,69,70,--,287,7,--,--
07/01/12,AT&T National,CUT,75,75,--,--,--,150,8,--,--
7/15/12,John Deere Classic,T58,70,67,72,69,--,278,-6,--,--
5/29/11,HP Byron Nelson Championship,T32,69,68,72,77,--,286,6,--,--
5/23/10,HP Byron Nelson Championship,T16,68,69,67,72,--,276,-4,--,--
6/13/10,St. Jude Classic presented by Smith & Nephew,CUT,73,69,--,--,--,142,2,--,--
