Date,Tournament Name,POS,1,2,3,4,5,"Total
Score",To PAR,FedExCup Rank,FedExCup Points
10/15/17,CIMB Classic,T17,70,71,69,67,--,277,-11,33,48
10/22/17,THE CJ CUP @ NINE BRIDGES,1,63,74,70,72,--,279,-9,3,500
12/03/17,Hero World Challenge *,11,69,70,74,68,--,281,-7,--,--
1/7/18,Sentry Tournament of Champions,T22,71,75,75,67,--,288,-4,6,38
1/14/18,Sony Open in Hawaii,T14,67,67,66,68,--,268,-12,5,54
02/04/18,Waste Management Phoenix Open,T17,68,68,71,66,--,273,-11,8,48
2/18/18,Genesis Open,T9,69,71,67,70,--,277,-7,9,70
02/25/18,The Honda Classic,1,67,72,65,68,--,272,-8,1,500
03/04/18,World Golf Championships-Mexico Championship,2,72,70,62,64,--,268,-16,1,315
3/25/18,World Golf Championships-Dell Technologies Match Play,4,--,--,--,--,--,--,--,1,140
10/16/16,Safeway Open,T8,75,66,66,67,--,274,-14,8,75
10/23/16,CIMB Classic,1,64,66,71,64,--,265,-23,1,500
10/30/16,World Golf Championships-HSBC Champions,T23,71,70,72,71,--,284,-4,2,39
12/10/16,Franklin Templeton Shootout *,T5,63,66,66,--,--,195,-21,--,--
01/08/17,SBS Tournament of Champions,1,67,67,67,69,--,270,-22,2,500
1/15/17,Sony Open in Hawaii,1,59,64,65,65,--,253,-27,1,500
2/5/17,Waste Management Phoenix Open,CUT,69,73,--,--,--,142,E,2,--
02/19/17,Genesis Open,T39,71,71,71,68,--,281,-3,2,13
2/26/17,The Honda Classic,CUT,71,70,--,--,--,141,1,2,--
3/5/17,World Golf Championships-Mexico Championship,T5,69,66,66,72,--,273,-11,1,110
3/12/17,Valspar Championship,CUT,71,74,--,--,--,145,3,1,--
03/26/17,World Golf Championships-Dell Technologies Match Play,T39,--,--,--,--,--,--,--,3,14
4/9/17,Masters Tournament,T22,73,76,71,70,--,290,2,3,42
4/30/17,Zurich Classic of New Orleans,T5,70,64,74,61,--,269,-19,2,59
05/14/17,THE PLAYERS Championship,T75,73,71,79,--,--,223,7,3,3
6/4/17,the Memorial Tournament presented by Nationwide,T4,67,71,69,72,--,279,-9,2,123
6/18/17,U.S. Open,T9,73,69,63,75,--,280,-8,3,82
06/25/17,Travelers Championship,CUT,73,72,--,--,--,145,5,3,--
07/02/17,Quicken Loans National,CUT,74,71,--,--,--,145,5,3,--
07/23/17,The Open Championship,CUT,67,80,--,--,--,147,7,4,--
8/6/17,World Golf Championships-Bridgestone Invitational,T28,73,70,69,67,--,279,-1,4,29
8/13/17,PGA Championship,1,73,66,69,68,--,276,-8,2,600
