Date,Tournament Name,POS,1,2,3,4,5,"Total
Score",To PAR,FedExCup Rank,FedExCup Points
10/29/17,World Golf Championships-HSBC Champions,T31,67,70,72,78,--,287,-1,104,27
11/19/17,The RSM Classic,T29,69,68,68,69,--,274,-8,107,24
12/03/17,Hero World Challenge *,T9,67,70,72,71,--,280,-8,--,--
12/10/17,QBE Shootout *,T9,63,72,64,--,--,199,-17,--,--
2/4/18,Waste Management Phoenix Open,T5,71,68,64,67,--,270,-14,77,96
02/11/18,AT&T Pebble Beach Pro-Am,T62,66,71,75,73,--,285,-2,83,4
2/18/18,Genesis Open,T26,73,71,69,69,--,282,-2,84,27
03/04/18,World Golf Championships-Mexico Championship,T58,74,74,73,71,--,292,8,87,6
03/11/18,Valspar Championship,T40,71,72,72,69,--,284,E,91,14
3/25/18,World Golf Championships-Dell Technologies Match Play,T9,--,--,--,--,--,--,--,81,68
4/1/18,Houston Open,T8,68,68,69,70,--,275,-13,63,73
10/16/16,Safeway Open,CUT,70,72,--,--,--,142,-2,--,--
10/30/16,World Golf Championships-HSBC Champions,T21,73,66,68,76,--,283,-5,54,48
11/20/16,The RSM Classic,CUT,70,72,--,--,--,142,E,101,--
12/04/16,Hero World Challenge *,T3,67,67,71,70,--,275,-13,--,--
12/10/16,Franklin Templeton Shootout *,T1,57,66,65,--,--,188,-28,--,--
2/5/17,Waste Management Phoenix Open,T9,64,69,69,70,--,272,-12,87,75
02/12/17,AT&T Pebble Beach Pro-Am,CUT,74,69,74,--,--,217,2,97,--
2/19/17,Genesis Open,T22,69,68,73,68,--,278,-6,83,37
3/5/17,World Golf Championships-Mexico Championship,T20,68,71,67,73,--,279,-5,73,49
3/12/17,Valspar Championship,T22,69,69,73,70,--,281,-3,71,37
03/26/17,World Golf Championships-Dell Technologies Match Play,T30,--,--,--,--,--,--,--,68,26
4/2/17,Shell Houston Open,CUT,73,77,--,--,--,150,6,73,--
4/9/17,Masters Tournament,T4,72,73,71,67,--,283,-5,45,135
04/16/17,RBC Heritage,T11,68,71,73,64,--,276,-8,42,54
4/23/17,Valero Texas Open,T40,73,71,75,71,--,290,2,41,12
5/14/17,THE PLAYERS Championship,82,73,71,81,--,--,225,9,52,2
05/21/17,AT&T Byron Nelson,T9,66,71,67,69,--,273,-7,40,73
05/28/17,DEAN & DELUCA Invitational,T12,70,72,68,67,--,277,-3,39,57
06/04/17,the Memorial Tournament presented by Nationwide,T4,69,70,67,73,--,279,-9,29,123
6/18/17,U.S. Open,T16,74,71,70,68,--,283,-5,28,55
7/23/17,The Open Championship,2,65,71,66,69,--,271,-9,17,330
7/30/17,RBC Canadian Open,T32,71,68,70,69,--,278,-10,17,20
8/6/17,World Golf Championships-Bridgestone Invitational,T17,71,72,66,68,--,277,-3,17,50
08/13/17,PGA Championship,T9,71,74,70,68,--,283,-1,15,80
8/27/17,THE NORTHERN TRUST,T10,71,64,68,73,--,276,-4,15,249
09/04/17,Dell Technologies Championship,T56,72,70,71,73,--,286,2,15,22
9/17/17,BMW Championship,T5,67,68,67,67,--,269,-15,15,420
9/24/17,TOUR Championship,T10,69,71,67,67,--,274,-6,15,280
11/15/15,OHL Classic at Mayakoba,T68,72,67,68,76,--,283,-1,189,2
11/22/15,The RSM Classic,T25,69,67,69,69,--,274,-8,128,43
12/6/15,Hero World Challenge *,14,70,66,69,71,--,276,-12,--,--
12/12/15,Franklin Templeton Shootout *,T2,58,67,63,--,--,188,-28,--,--
01/17/16,Sony Open in Hawaii,T13,71,66,62,69,--,268,-12,102,51
1/24/16,CareerBuilder Challenge in partnership with the Clinton Foundation,T49,67,67,72,71,--,277,-11,95,19
2/21/16,Northern Trust Open,T8,69,69,69,67,--,274,-10,88,83
3/6/16,World Golf Championships-Cadillac Championship,T28,70,78,70,72,--,290,2,84,40
03/13/16,Valspar Championship,T11,71,70,74,68,--,283,-1,57,60
3/20/16,Arnold Palmer Invitational presented by MasterCard,CUT,72,73,--,--,--,145,1,71,--
3/27/16,World Golf Championships-Dell Match Play,T9,--,--,--,--,--,--,--,55,68
04/10/16,Masters Tournament,T24,75,73,72,74,--,294,6,58,45
04/17/16,RBC Heritage,T9,67,71,72,71,--,281,-3,48,70
4/24/16,Valero Texas Open,T42,71,73,70,72,--,286,-2,49,25
5/15/16,THE PLAYERS Championship,T3,71,67,72,68,--,278,-10,34,148
05/22/16,AT&T Byron Nelson,3,65,67,65,69,--,266,-14,26,190
05/29/16,DEAN & DELUCA Invitational,T6,73,67,63,68,--,271,-9,20,89
6/5/16,the Memorial Tournament presented by Nationwide,T4,66,66,70,73,--,275,-13,18,109
6/19/16,U.S. Open,T46,71,72,71,76,--,290,10,21,24
7/3/16,World Golf Championships-Bridgestone Invitational,T3,69,72,70,66,--,277,-3,13,140
07/17/16,The Open Championship,T46,71,68,75,76,--,290,6,16,22
