Date,Tournament Name,POS,1,2,3,4,5,"Total
Score",To PAR,FedExCup Rank,FedExCup Points
10/8/17,Safeway Open,T3,69,69,68,70,--,276,-12,3,163
10/29/17,World Golf Championships-HSBC Champions,T15,71,72,74,67,--,284,-4,15,55
01/21/18,CareerBuilder Challenge,CUT,70,68,74,--,--,212,-4,45,--
1/28/18,Farmers Insurance Open,T45,70,68,76,74,--,288,E,46,10
2/4/18,Waste Management Phoenix Open,T5,70,65,66,69,--,270,-14,29,96
02/11/18,AT&T Pebble Beach Pro-Am,T2,69,65,72,67,--,273,-14,18,184
2/18/18,Genesis Open,T6,70,71,67,68,--,276,-8,16,92
03/04/18,World Golf Championships-Mexico Championship,1,69,68,65,66,--,268,-16,3,550
03/25/18,World Golf Championships-Dell Technologies Match Play,T17,--,--,--,--,--,--,--,3,45
4/1/18,Houston Open,T24,68,71,72,67,--,278,-10,3,32
10/16/16,Safeway Open,T8,69,69,69,67,--,274,-14,8,75
1/22/17,CareerBuilder Challenge,T21,68,66,73,70,--,277,-11,72,40
01/29/17,Farmers Insurance Open,T14,71,72,68,70,--,281,-7,59,52
2/5/17,Waste Management Phoenix Open,T16,68,70,65,71,--,274,-10,52,46
02/12/17,AT&T Pebble Beach Pro-Am,65,70,72,69,77,--,288,1,54,4
2/19/17,Genesis Open,T34,67,73,71,69,--,280,-4,52,20
3/5/17,World Golf Championships-Mexico Championship,T7,67,68,68,71,--,274,-10,39,89
03/26/17,World Golf Championships-Dell Technologies Match Play,T5,--,--,--,--,--,--,--,32,101
4/2/17,Shell Houston Open,T55,72,72,74,70,--,288,E,34,6
4/9/17,Masters Tournament,T22,71,73,74,72,--,290,2,30,42
5/7/17,Wells Fargo Championship,T18,71,72,69,72,--,284,-4,36,44
05/14/17,THE PLAYERS Championship,T41,70,72,78,71,--,291,3,39,14
5/28/17,DEAN & DELUCA Invitational,T29,67,75,69,69,--,280,E,40,27
6/4/17,the Memorial Tournament presented by Nationwide,T22,70,70,72,73,--,285,-3,43,39
06/11/17,FedEx St. Jude Classic,9,69,67,69,68,--,273,-7,36,80
