Date,Tournament Name,POS,1,2,3,4,5,"Total
Score",To PAR,FedExCup Rank,FedExCup Points
10/15/17,CIMB Classic,T10,67,70,69,69,--,275,-13,25,70
10/22/17,THE CJ CUP @ NINE BRIDGES,T11,71,70,72,71,--,284,-4,18,63
10/29/17,World Golf Championships-HSBC Champions,T5,68,70,70,72,--,280,-8,11,105
2/11/18,AT&T Pebble Beach Pro-Am,T26,69,69,70,72,--,280,-7,47,28
2/18/18,Genesis Open,T26,72,67,73,70,--,282,-2,47,27
02/25/18,The Honda Classic,T29,70,72,73,69,--,284,4,40,27
3/4/18,World Golf Championships-Mexico Championship,T3,66,67,69,67,--,269,-15,26,170
03/25/18,World Golf Championships-Dell Technologies Match Play,T36,--,--,--,--,--,--,--,32,15
04/01/18,Houston Open,CUT,71,77,--,--,--,148,4,34,--
10/23/16,CIMB Classic,T10,69,67,69,70,--,275,-13,23,62
10/30/16,World Golf Championships-HSBC Champions,T19,71,74,68,69,--,282,-6,25,52
11/27/16,ISPS HANDA World Cup of Golf *,T8,69,67,73,66,--,275,-13,--,--
02/26/17,The Honda Classic,T37,68,70,67,74,--,279,-1,105,17
3/5/17,World Golf Championships-Mexico Championship,T38,72,69,71,72,--,284,E,101,17
03/26/17,World Golf Championships-Dell Technologies Match Play,T17,--,--,--,--,--,--,--,97,44
4/2/17,Shell Houston Open,CUT,75,74,--,--,--,149,5,101,--
4/9/17,Masters Tournament,CUT,75,77,--,--,--,152,8,103,--
04/16/17,RBC Heritage,CUT,74,70,--,--,--,144,2,107,--
5/7/17,Wells Fargo Championship,T24,69,71,73,72,--,285,-3,112,33
5/14/17,THE PLAYERS Championship,T4,69,70,73,70,--,282,-6,80,135
6/4/17,the Memorial Tournament presented by Nationwide,CUT,79,71,--,--,--,150,6,91,--
06/11/17,FedEx St. Jude Classic,T4,70,66,65,71,--,272,-8,73,104
6/18/17,U.S. Open,T42,72,73,71,74,--,290,2,70,14
7/23/17,The Open Championship,T4,67,73,67,68,--,275,-5,58,135
08/06/17,World Golf Championships-Bridgestone Invitational,72,76,73,75,70,--,294,14,65,3
8/13/17,PGA Championship,CUT,74,75,--,--,--,149,7,71,--
8/27/17,THE NORTHERN TRUST,CUT,79,72,--,--,--,151,11,74,--
09/04/17,Dell Technologies Championship,T18,72,68,72,65,--,277,-7,74,184
09/17/17,BMW Championship,T33,65,71,70,70,--,276,-8,74,80
03/06/16,World Golf Championships-Cadillac Championship,T11,73,71,67,74,--,285,-3,--,--
3/27/16,World Golf Championships-Dell Match Play,3,--,--,--,--,--,--,--,--,--
4/3/16,Shell Houston Open,4,71,72,68,65,--,276,-12,--,--
4/10/16,Masters Tournament,T17,74,73,75,70,--,292,4,--,--
5/15/16,THE PLAYERS Championship,CUT,72,71,--,--,--,143,-1,--,--
06/05/16,the Memorial Tournament presented by Nationwide,T52,69,73,71,71,--,284,-4,--,--
6/19/16,U.S. Open,T32,74,70,69,75,--,288,8,--,--
07/17/16,The Open Championship,T39,68,71,75,74,--,288,4,--,--
7/31/16,PGA Championship,T49,72,70,70,67,--,279,-1,--,--
8/14/16,Olympic Men's Golf Competition *,T5,67,70,71,68,--,276,-8,--,--
8/21/16,Wyndham Championship,T5,63,68,65,70,--,266,-14,--,--
10/02/16,Ryder Cup *,--,--,--,--,--,--,--,--,--,--
3/8/15,Puerto Rico Open,T10,70,75,68,70,--,283,-5,--,--
3/15/15,Valspar Championship,T44,74,69,70,72,--,285,1,--,--
07/19/15,The Open Championship,T40,71,73,68,71,--,283,-5,--,--
8/16/15,PGA Championship,CUT,73,75,--,--,--,148,4,--,--
11/24/13,ISPS HANDA World Cup of Golf *,53,75,75,70,76,--,296,12,--,--
2/9/14,AT&T Pebble Beach National Pro-Am,T64,74,71,71,--,--,216,1,--,--
03/09/14,Puerto Rico Open presented by seepuertorico.com,T24,69,67,68,74,--,278,-10,--,--
7/20/14,The Open Championship,CUT,70,77,--,--,--,147,3,--,--
8/10/14,PGA Championship,73,69,71,74,80,--,294,10,--,--
08/17/14,Wyndham Championship,CUT,68,74,--,--,--,142,2,--,--
02/10/13,AT&T Pebble Beach National Pro-Am,CUT,73,79,70,--,--,222,8,--,--
2/24/13,World Golf Championships-Accenture Match Play Championship,T17,--,--,--,--,--,--,--,--,--
3/10/13,World Golf Championships-Cadillac Championship,T63,71,74,76,78,--,299,11,--,--
07/21/13,The Open Championship,T21,67,74,76,74,--,291,7,--,--
08/11/13,PGA Championship,T29,68,75,69,70,--,282,2,--,--
2/26/12,World Golf Championships-Accenture Match Play Championship,T33,--,--,--,--,--,--,--,--,--
3/11/12,World Golf Championships-Cadillac Championship,65,75,70,75,74,--,294,6,--,--
6/17/12,U.S. Open,CUT,74,76,--,--,--,150,10,--,--
07/22/12,The Open Championship,T81,70,71,76,77,--,294,14,--,--
8/5/12,World Golf Championships-Bridgestone Invitational,T29,66,65,77,73,--,281,1,--,--
8/12/12,PGA Championship,CUT,71,81,--,--,--,152,8,--,--
11/04/12,World Golf Championships-HSBC Champions *,T46,75,69,76,67,--,287,-1,--,--
12/3/12,PGA TOUR Qualifying Tournament *,W/D,70,75,70,66,69,350,-10,--,--
6/20/10,U.S. Open Championship,T47,70,75,81,72,--,298,14,--,--
