Date,Tournament Name,POS,1,2,3,4,5,"Total
Score",To PAR,FedExCup Rank,FedExCup Points
10/8/17,Safeway Open,2,70,65,71,69,--,275,-13,2,300
10/22/17,THE CJ CUP @ NINE BRIDGES,T26,67,75,75,72,--,289,1,4,33
10/29/17,World Golf Championships-HSBC Champions,T11,67,72,74,70,--,283,-5,5,67
11/5/17,Shriners Hospitals for Children Open,T16,69,69,69,72,--,279,-5,6,52
12/10/17,QBE Shootout *,T4,63,66,66,--,--,195,-21,--,--
01/14/18,Sony Open in Hawaii,T32,70,67,67,67,--,271,-9,10,21
1/28/18,Farmers Insurance Open,T6,65,70,73,73,--,281,-7,12,95
02/04/18,Waste Management Phoenix Open,CUT,69,73,--,--,--,142,E,15,--
02/18/18,Genesis Open,T2,66,71,68,69,--,274,-10,6,245
3/4/18,World Golf Championships-Mexico Championship,T27,68,70,68,74,--,280,-4,7,36
3/11/18,Valspar Championship,CUT,74,74,--,--,--,148,6,7,--
3/25/18,World Golf Championships-Dell Technologies Match Play,T17,--,--,--,--,--,--,--,9,45
04/01/18,Houston Open,T24,70,70,69,69,--,278,-10,8,32
10/16/16,Safeway Open,T26,70,69,71,69,--,279,-9,26,28
10/23/16,CIMB Classic,T33,69,72,68,71,--,280,-8,34,21
11/6/16,Shriners Hospitals for Children Open,T41,72,65,65,74,--,276,-8,61,12
11/13/16,OHL Classic at Mayakoba,CUT,76,67,--,--,--,143,1,69,--
01/08/17,SBS Tournament of Champions,T9,70,68,70,70,--,278,-14,43,75
1/15/17,Sony Open in Hawaii,T20,64,67,68,69,--,268,-12,42,39
1/29/17,Farmers Insurance Open,T4,73,68,67,71,--,279,-9,31,104
2/5/17,Waste Management Phoenix Open,CUT,72,71,--,--,--,143,1,34,--
02/12/17,AT&T Pebble Beach Pro-Am,T23,71,68,72,70,--,281,-6,32,32
2/19/17,Genesis Open,CUT,69,74,--,--,--,143,1,33,--
3/12/17,Valspar Championship,5,67,72,70,64,--,273,-11,24,110
03/19/17,Arnold Palmer Invitational presented by Mastercard,T28,72,67,77,71,--,287,-1,25,27
4/2/17,Shell Houston Open,T34,71,73,72,68,--,284,-4,29,20
4/23/17,Valero Texas Open,T3,71,65,74,69,--,279,-9,24,163
04/30/17,Zurich Classic of New Orleans,CUT,71,68,--,--,--,139,-5,25,--
05/14/17,THE PLAYERS Championship,CUT,73,74,--,--,--,147,3,31,--
05/21/17,AT&T Byron Nelson,T13,75,65,65,69,--,274,-6,28,55
5/28/17,DEAN & DELUCA Invitational,T29,72,65,73,70,--,280,E,26,27
6/4/17,the Memorial Tournament presented by Nationwide,T40,74,73,68,74,--,289,1,28,14
6/20/17,CVS Health Charity Classic *,T3,64,66,--,--,--,130,-12,--,--
6/25/17,Travelers Championship,T17,70,67,70,67,--,274,-6,31,43
