Date,Tournament Name,POS,1,2,3,4,5,"Total
Score",To PAR,FedExCup Rank,FedExCup Points
10/8/17,Safeway Open,T13,68,72,69,71,--,280,-8,13,56
11/12/17,OHL Classic at Mayakoba,T23,70,70,72,64,--,276,-8,60,38
11/19/17,The RSM Classic,T8,70,68,64,67,--,269,-13,43,75
12/10/17,QBE Shootout *,T8,65,70,63,--,--,198,-18,--,--
1/14/18,Sony Open in Hawaii,T14,63,67,71,67,--,268,-12,34,54
01/21/18,CareerBuilder Challenge,T20,67,64,73,70,--,274,-14,31,38
2/4/18,Waste Management Phoenix Open,T57,71,70,71,71,--,283,-1,43,5
03/11/18,Valspar Championship,T16,73,68,69,71,--,281,-3,53,42
03/18/18,Arnold Palmer Invitational presented by Mastercard,T26,69,71,71,73,--,284,-4,53,27
3/25/18,World Golf Championships-Dell Technologies Match Play,T36,--,--,--,--,--,--,--,54,15
11/20/16,The RSM Classic,CUT,70,70,--,--,--,140,-2,--,--
12/4/16,Hero World Challenge *,12,72,69,70,71,--,282,-6,--,--
01/15/17,Sony Open in Hawaii,T6,69,61,65,68,--,263,-17,77,95
1/22/17,CareerBuilder Challenge,CUT,72,68,73,--,--,213,-3,86,--
02/05/17,Waste Management Phoenix Open,T12,70,66,70,67,--,273,-11,69,59
2/26/17,The Honda Classic,T27,68,69,67,74,--,278,-2,81,26
3/5/17,World Golf Championships-Mexico Championship,T58,75,69,70,75,--,289,5,84,6
03/19/17,Arnold Palmer Invitational presented by Mastercard,T66,75,70,73,76,--,294,6,91,4
3/26/17,World Golf Championships-Dell Technologies Match Play,T9,--,--,--,--,--,--,--,72,68
4/9/17,Masters Tournament,CUT,77,74,--,--,--,151,7,79,--
4/23/17,Valero Texas Open,CUT,74,74,--,--,--,148,4,90,--
05/07/17,Wells Fargo Championship,T18,71,73,69,71,--,284,-4,84,44
5/14/17,THE PLAYERS Championship,T48,72,73,71,76,--,292,4,88,10
5/28/17,DEAN & DELUCA Invitational,T63,67,75,75,70,--,287,7,96,4
06/04/17,the Memorial Tournament presented by Nationwide,T40,76,71,70,72,--,289,1,95,14
6/18/17,U.S. Open,T27,71,74,68,74,--,287,-1,95,33
6/25/17,Travelers Championship,CUT,75,69,--,--,--,144,4,95,--
07/16/17,John Deere Classic,T5,65,67,70,67,--,269,-15,87,93
07/23/17,The Open Championship,T14,75,66,71,66,--,278,-2,80,58
08/06/17,World Golf Championships-Bridgestone Invitational,2,69,67,65,68,--,269,-11,36,315
8/13/17,PGA Championship,T48,71,73,71,74,--,289,5,39,9
8/27/17,THE NORTHERN TRUST,CUT,72,71,--,--,--,143,3,42,--
9/4/17,Dell Technologies Championship,T56,77,68,69,72,--,286,2,42,22
9/17/17,BMW Championship,T20,67,71,72,64,--,274,-10,42,157
11/22/15,The RSM Classic,T75,70,70,70,--,--,210,-2,208,1
12/6/15,Hero World Challenge *,12,66,70,67,70,--,273,-15,--,--
12/12/15,Franklin Templeton Shootout *,T10,64,67,68,--,--,199,-17,--,--
1/10/16,Hyundai Tournament of Champions,T21,75,69,70,67,--,281,-11,137,49
1/17/16,Sony Open in Hawaii,T9,64,66,70,67,--,267,-13,74,73
1/24/16,CareerBuilder Challenge in partnership with the Clinton Foundation,CUT,73,71,67,--,--,211,-5,87,--
02/07/16,Waste Management Phoenix Open,T14,73,66,69,69,--,277,-7,77,56
2/28/16,The Honda Classic,CUT,75,71,--,--,--,146,6,108,--
3/6/16,World Golf Championships-Cadillac Championship,T47,71,73,71,80,--,295,7,102,24
03/20/16,Arnold Palmer Invitational presented by MasterCard,5,70,70,68,68,--,276,-12,66,110
