,0,1
0,216,[  6.34192302e-37]
1,217,[  4.54316525e-34]
2,218,[  1.47737074e-31]
3,219,[  2.88332608e-29]
4,220,[  3.76371285e-27]
5,221,[  3.46831531e-25]
6,222,[  2.32347566e-23]
7,223,[  1.14978647e-21]
8,224,[  4.23789091e-20]
9,225,[  1.16807780e-18]
10,226,[  2.41228032e-17]
11,227,[  3.73677200e-16]
12,228,[  4.34613943e-15]
13,229,[  3.80133738e-14]
14,230,[  2.50829981e-13]
15,231,[  1.25680343e-12]
16,232,[  4.84855042e-12]
17,233,[  1.48383330e-11]
18,234,[  3.82587147e-11]
19,235,[  9.14532627e-11]
20,236,[  2.21034830e-10]
21,237,[  5.44749152e-10]
22,238,[  1.30809073e-09]
23,239,[  2.98107376e-09]
24,240,[  6.49730151e-09]
25,241,[  1.37836298e-08]
26,242,[  2.87192744e-08]
27,243,[  5.87949929e-08]
28,244,[  1.18139253e-07]
29,245,[  2.32972110e-07]
30,246,[  4.50802062e-07]
31,247,[  8.55475139e-07]
32,248,[  1.59229754e-06]
33,249,[  2.91023271e-06]
34,250,[  5.23022142e-06]
35,251,[  9.25033754e-06]
36,252,[  1.61021594e-05]
37,253,[  2.75792452e-05]
38,254,[  4.64641588e-05]
39,255,[  7.69823230e-05]
40,256,[ 0.00012541]
41,257,[ 0.00020089]
42,258,[ 0.00031642]
43,259,[ 0.00049008]
44,260,[ 0.00074635]
45,261,[ 0.00111728]
46,262,[ 0.00164343]
47,263,[ 0.00237393]
48,264,[ 0.00336556]
49,265,[ 0.00468015]
50,266,[ 0.00638028]
51,267,[ 0.00852306]
52,268,[ 0.01115252]
53,269,[ 0.01429094]
54,270,[ 0.01793044]
55,271,[ 0.02202573]
56,272,[ 0.02648974]
57,273,[ 0.03119306]
58,274,[ 0.03596814]
59,275,[ 0.04061816]
60,276,[ 0.04493037]
61,277,[ 0.04869251]
62,278,[ 0.05171073]
63,279,[ 0.05382644]
64,280,[ 0.05493041]
65,281,[ 0.05497224]
66,282,[ 0.05396409]
67,283,[ 0.05197832]
68,284,[ 0.0491393]
69,285,[ 0.04561068]
70,286,[ 0.04158003]
71,287,[ 0.03724283]
72,288,[ 0.03278765]
73,289,[ 0.02838368]
74,290,[ 0.02417176]
75,291,[ 0.02025935]
76,292,[ 0.01671931]
77,293,[ 0.01359201]
78,294,[ 0.01088967]
79,295,[ 0.00860198]
80,296,[ 0.0067021]
81,297,[ 0.00515239]
82,298,[ 0.00390954]
83,299,[ 0.00292871]
84,300,[ 0.00216649]
85,301,[ 0.00158291]
86,302,[ 0.0011425]
87,303,[ 0.00081475]
88,304,[ 0.00057416]
89,305,[ 0.00039987]
90,306,[ 0.00027526]
91,307,[ 0.00018729]
92,308,[ 0.00012598]
93,309,[  8.37660234e-05]
94,310,[  5.50622643e-05]
95,311,[  3.57778083e-05]
96,312,[  2.29778164e-05]
97,313,[  1.45849560e-05]
98,314,[  9.14893985e-06]
99,315,[  5.67096227e-06]
100,316,[  3.47280896e-06]
101,317,[  2.10056678e-06]
102,318,[  1.25464649e-06]
103,319,[  7.39859371e-07]
104,320,[  4.30640765e-07]
105,321,[  2.47311134e-07]
106,322,[  1.40047122e-07]
107,323,[  7.81471858e-08]
108,324,[  4.29446563e-08]
109,325,[  2.32306071e-08]
110,326,[  1.23628067e-08]
111,327,[  6.46586732e-09]
112,328,[  3.31842217e-09]
113,329,[  1.66880363e-09]
114,330,[  8.21635266e-10]
115,331,[  3.95734165e-10]
116,332,[  1.85987756e-10]
117,333,[  8.48546026e-11]
118,334,[  3.73545143e-11]
119,335,[  1.58023420e-11]
120,336,[  6.40792778e-12]
121,337,[  2.47181488e-12]
122,338,[  8.88465536e-13]
123,339,[  2.87488845e-13]
124,340,[  8.03159582e-14]
125,341,[  1.85946249e-14]
126,342,[  3.44814235e-15]
127,343,[  4.99558938e-16]
128,344,[  5.56139172e-17]
129,345,[  4.70835139e-18]
130,346,[  3.01270213e-19]
131,347,[  1.45148114e-20]
132,348,[  5.25106184e-22]
133,349,[  1.42236267e-23]
134,350,[  2.87165612e-25]
135,351,[  4.28437901e-27]
136,352,[  4.64793864e-29]
137,353,[  3.56016062e-31]
138,354,[  1.82402257e-33]
139,355,[  5.60896551e-36]
140,356,[  7.82958581e-39]
141,357,0
142,358,0
143,359,0
